ImdbID,Name,Runtime,ReleaseDate,OriginCountries,Languages,Genres,Rating,Plot
tt20194882,Lonely Planet,01:34:00,2024-10-11,['United States'],['English'],"['Drama', 'Romance']",5.7,"At a retreat in Morocco, a woman meets a young man whose acquaintanceship evolves into an intoxicating, life-altering love affair."
tt15334030,Martin,02:27:00,2024-10-11,['India'],['Kannada'],"['Action', 'Drama', 'Thriller']",5.1,"A journey of a man discovering himself, finding love and fighting for his motherland. Can he hold the fort on all three gates?"
tt29330913,Vicky Vidya Ka Woh Wala Video,02:32:00,2024-10-11,['India'],['Hindi'],"['Raunchy Comedy', 'Comedy']",7.2,"A newly married couple's relationship and reputation are put at risk when their private video CD is stolen. The story follows their roller coaster journey to recover the CD, navigating a series of unexpected difficulties along the way."
tt14972766,Dominique,01:40:00,2024-10-11,"['United States', 'Colombia']","['English', 'Spanish']","['Action', 'Thriller']",4.9,"Trained assassin Dominique, escaping her troubled past, crash lands her plane in a Colombian town rife with violence. Sheltered by a family, she faces attacks from police and must choose between self-preservation or defending her hosts."
tt33298502,Black,02:30:00,2024-10-11,['India'],['Tamil'],['Thriller'],7.2,"A young couple move into a serene row house, eager for peace and privacy. A violent storm and unsettling forces unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart."
tt32843331,Janaka Aithe Ganaka,02:18:00,2024-10-12,['India'],['Telugu'],['Drama'],9.4,
tt26936666,Vettaiyan,02:43:00,2024-10-10,['India'],"['Tamil', 'Telugu', 'Hindi', 'Kannada', 'Malayalam']","['Cop Drama', 'One-Person Army Action', 'Action', 'Crime', 'Drama']",7.9,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
tt29892095,Girl Haunts Boy,01:40:00,2024-10-10,['United States'],['English'],"['Fantasy', 'Romance']",6.3,"A young boy befriends the spirit of a 1920s girl lingering in his new home, forming an unlikely yet profound bond across decades."
tt32916093,Mr. Crocket,01:28:00,2024-10-11,['United States'],['English'],['Horror'],5.4,A mother embarks on a perilous quest to rescue her son from a demonic children's show host who is kidnapping kids.
tt26733317,Jigra,02:33:00,2024-10-11,['India'],['Hindi'],['Action'],7.4,"It is a heart wrenching tale of a sister taking on the world to avenge her brother. Their odyssey of reunification tests their bond, their morals, and their inner strengths. Who wouldn't set the world on fire to protect what's theirs?"
tt26682012,Daddy's Head,01:32:00,2024-10-10,['United Kingdom'],['English'],"['Folk Horror', 'Horror']",5.7,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.
tt15552142,Caddo Lake,01:39:00,2024-10-10,['United States'],['English'],"['Drama', 'Mystery', 'Thriller']",6.9,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
tt33057454,Karma,02:47:00,2024-10-09,['India'],['Oriya'],"['Action', 'Mystery', 'Thriller']",9.1,"Stranded in a remote graveyard, special investigation officer Amar Patnaik uncovers chilling secrets, only to realise he's caught in a gripping tale of Karma and Fate"
tt33810459,Uruttu Factory,01:28:00,2024-10-09,['India'],['Tamil'],['Documentary'],9.2,"Sid counters criticism through sarcasm and evidence in a response video, dissecting others' videos while addressing community concerns about wrongdoings."
tt33600145,Money Electric: The Bitcoin Mystery,01:40:00,2024-10-08,['United States'],['English'],['Documentary'],6.7,"Cullen Hoback investigates the origins of Bitcoin and its anonymous creator Satoshi Nakamoto, exploring the potential of this cryptocurrency on the global financial system and who could hold immense power if it became mainstream."
tt32857110,Bohurupi,02:35:00,2024-10-08,['India'],['Bengali'],"['Action', 'Drama']",8.5,"An itinerant showman, who amuses people and earns money by impersonating demons, undergoes a psychological transformation after having a miraculous dream."
tt30630336,Tekka,02:15:00,2024-10-08,['India'],['Bengali'],['Drama'],6.6,"The story of Iqlakh, a janitor who lost his job and is trying to get it back by holding a girl hostage. Things get complicated when the girl's mother, Pooja, kidnaps Iqlakh's son Guddu, creating a stalemate between the parents."
tt33481094,The Menendez Brothers,01:59:00,2024-10-07,['United States'],['English'],['Documentary'],7.0,"In 1996, the Menendez brothers faced trial for killing their parents, a case that captivated America. Years later, they share their side through interviews with those involved, offering a fresh take on the events."
tt27599851,Apocalypse Z: The Beginning of the End,01:52:00,2024-10-31,['Spain'],"['Spanish', 'Ukrainian']","['Action', 'Horror', 'Sci-Fi', 'Thriller']",6.1,"Manel sheltering from a rabies-like disease which sweeps the planet, until forced to leave and meet unlikely but essential traveling companions."
tt32880932,V/H/S/Beyond,01:54:00,2024-10-04,['United States'],['English'],"['Found Footage Horror', 'Monster Horror', 'Zombie Horror', 'Horror']",5.9,"Six bloodcurdling tapes unleash horror in a sci-fi inspired hellscape, pushing the boundaries of fear and suspense."
tt12736014,CTRL,01:39:00,2024-10-04,['India'],,"['Cyber Thriller', 'Drama', 'Thriller']",6.3,"Nella and Joe are the perfect influencer couple, but when he cheats on her, she turns to an AI app to erase him from her life - until it takes control."
tt28129054,Take Cover,01:30:00,2024-10-04,['United Kingdom'],['English'],"['Action', 'Thriller']",5.1,A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.
tt28351127,Swag,02:30:00,2024-10-04,['India'],['Telugu'],['Comedy'],7.9,Follows the swaganika bloodline which changes the matriarchal society to patriarchal society.
tt30073158,Dhakshina,01:47:00,2024-10-04,['India'],['Telugu'],"['Crime', 'Drama']",9.2,Vizag city is horrified with brutal murders by a serial killer. A police officer arrests a crazy lady who is being spotted preceding at every murder scene. What is the shocking twist that the police officer knows from her investigation?
tt33348082,Aaragan,01:44:00,2024-10-04,['India'],['Tamil'],['Drama'],9.6,"Saravanan & Magizhnila, in love but financially unstable, see hope when Magizhnila lands a better job in a new town. However, her path soon fills with unexpected struggles. Her journey through these challenges is the essence of the story."
tt33496202,Ramnagar Bunny,02:28:00,2024-10-04,['India'],['Telugu'],['Comedy'],9.5,"Reckless 21-year-old Bunny squanders his father's savings and juggles relationships. After a wake-up call, he faces a tough choice between love and responsibility in this Light-Hearted, emotional journey."
tt33311713,Mr.Celebrity,02:04:00,2024-10-04,['India'],['Telugu'],['Drama'],8.9,"A fearless activist claims she was raped in her dreams with physical marks. A masked figure traps her, a YouTuber, and a cop in a suspenseful game testing their wits and bonds, blending thriller with comedy."
