ImdbID,Name,Directors,OriginCountries,Languages,Genres,Rating
tt23289160,Godzilla Minus One, Takashi Yamazaki , Japan , Japanese , Action Epic Adventure Epic Dinosaur Adventure Epic Kaiju Monster Horror Period Drama Sci-Fi Epic Supernatural Horror Tragedy ,7.7
tt32245158,Justice, Michal Gazda , Poland , Polish , Heist Crime Drama ,6.3
tt19869024,Sayen, Alexander Witt , Chile ," Spanish, Mapudungun ", Action Thriller ,4.7
tt33484071,Sweet Bobby: My Catfish Nightmare, Lyttanya Shannon , United Kingdom , English , Documentary ,6.2
tt21223380,Doraemon the Movie: Nobita's Sky Utopia, Takumi Doyama , Japan , Japanese , Anime Adventure Animation Comedy Drama Family Fantasy Sci-Fi ,6.8
tt14915198,Bimbisara, Mallidi Vasishta , India , Telugu , Action Drama Fantasy ,6.8
tt32743167,Carved, Justin Harding , United States , English , Dark Comedy Monster Horror Teen Horror Comedy Horror ,4.4
tt24870072,Locked In, Nour Wazzi ," United Kingdom, France, United States ", English , Psychological Thriller Drama Mystery Thriller ,5.1
tt21638298,Wingwomen, Mélanie Laurent , France , French , Heist Action Comedy Crime Thriller ,5.7
tt18394610,Nuovo Olimpo, Ferzan Özpetek , Italy , Italian , Steamy Romance Drama Romance ,7.2
tt12757372,Red, Don Tjernagel , United States , English , Horror ,3.0
tt26690825,Balagam, Venu Yeldandi , India , Telugu , Drama Family ,7.9
tt28497675,The Park Maniac, Mauricio Eça , Brazil , Portuguese , Docudrama Serial Killer True Crime Crime Drama ,4.9
tt18224752,Well Done!, Gilles Legardinier ," Luxembourg, France "," French, English ", Comedy Drama Romance ,6.4
tt20194882,Lonely Planet, Susannah Grant , United States , English , Drama Romance ,5.7
tt27302079,Aattam, Anand Ekarshi , India , Malayalam , Drama Mystery Thriller ,8.2
tt15334030,Martin, A.P. Arjun , India , Kannada , Action Drama Thriller ,5.1
tt23849204,12th Fail, Vidhu Vinod Chopra , India , Hindi , Docudrama Biography Drama ,8.8
tt29330913,Vicky Vidya Ka Woh Wala Video, Raaj Shaandilyaa , India , Hindi , Raunchy Comedy Comedy ,7.2
tt1200263,The Color Purple, Blitz Bazawule , United States , English , Drama Musical ,6.8
tt14028056,EgyÃ¼tt kezdtÃ¼k, Yvonne Kerékgyártó , Hungary , Hungarian , Comedy Drama Romance ,6.4
tt16211122,Ayodhi, Manthira Moorthy , India , Tamil , Action Drama Thriller ,8.2
tt14972766,Dominique," Michael S. Ojeda, Oksana Orlan "," United States, Colombia "," English, Spanish ", Action Thriller ,4.9
